,CD_UNIDADE,DESC_UNIDADE,CD_EQUIPAMENTO,CD_OPERADOR,DT_HORA_INI,DT_HORA_FIM,CD_OPERACAO,DESC_OPERACAO,CD_GRP_OPERACAO,DESC_GRP_OPERACAO,VL_HR_OPERACIONAL,CD_FAZENDA,CD_GRP_EQUIPAMENTO,DESC_GRP_EQUIPAMENTO,VL_VELOCIDADE_MEDIA,CD_TP_EQUIPAMENTO,INFA_EXT_DT,VL_ESPACAMENTO_IMPLEMENTO,DESC_APLICACAO,HORA_INI,HORA_FIM,Personalizar
568,6,TROPICAL,63370,335272,2021-10-29T09:22:27.0000000,2021-10-29T09:23:30.0000000,834,FALTA DE APONTAMENTO,6051,PERDIDA,0.0175,4201,606,606 - FRT COLHEITA  MECANIZADA TRP,5.98,57,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
569,4,ITUMBIARA,46155,99999,2021-10-29T09:22:18.0000000,2021-10-29T09:23:26.0000000,631,MANOBRA TRANSBORDO EITO,53,PRODUTIVA,0.0189,4277,21,401 - FRT COLHEITA MECANIZADA ITB,3.68,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
570,3,ITUIUTABA,36311,551292,2021-10-29T09:22:22.0000000,2021-10-29T09:23:26.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0178,4231,1,301 - FRT COLHEITA MECANIZADA ITT,6.76,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
571,3,ITUIUTABA,36279,550059,2021-10-29T09:23:00.0000000,2021-10-29T09:23:24.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0067,4051,2,302 - FRT COLHEITA MECANIZADA ITT,7.09,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
572,3,ITUIUTABA,36326,32253,2021-10-29T09:23:14.0000000,2021-10-29T09:23:24.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0028,4113,1,301 - FRT COLHEITA MECANIZADA ITT,3.83,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
573,3,ITUIUTABA,36244,20864,2021-10-29T09:23:13.0000000,2021-10-29T09:23:23.0000000,631,MANOBRA TRANSBORDO EITO,53,PRODUTIVA,0.0028,4113,1,301 - FRT COLHEITA MECANIZADA ITT,8.36,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
574,6,TROPICAL,63898,99999,2021-10-29T09:20:49.0000000,2021-10-29T09:23:21.0000000,634,BASCULANDO / TRANSBORDAGEM,53,PRODUTIVA,0.0422,4019,605,605 - FRT COLHEITA MECANIZADA TRP,6.49,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
575,3,ITUIUTABA,36327,22389,2021-10-29T09:22:12.0000000,2021-10-29T09:23:21.0000000,1055,MANOBRA,53,PRODUTIVA,0.0192,4231,1,301 - FRT COLHEITA MECANIZADA ITT,5.04,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
576,3,ITUIUTABA,36300,32055,2021-10-29T09:21:24.0000000,2021-10-29T09:23:18.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0317,4051,2,302 - FRT COLHEITA MECANIZADA ITT,7.17,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
577,3,ITUIUTABA,36226,551055,2021-10-29T09:21:45.0000000,2021-10-29T09:23:18.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0258,4051,2,302 - FRT COLHEITA MECANIZADA ITT,7.29,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
